pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Inositol Metabolism,SMPDB,0,,21 (22),1,1,1,C03546,30 (30),0.216,0.87,0.548,0.635
Integration of energy metabolism,Reactome,0,,86 (89),1,1,1,C00020,30 (31),0.216,0.87,0.548,0.635
Mitotic Metaphase and Anaphase,Reactome,1,SEC13,131 (138),0.217,1,0,,4 (4),1,1,0.549,0.635
Peptide chain elongation,Reactome,1,RPL9,131 (141),0.217,1,0,,24 (25),1,1,0.549,0.635
Phosphatidylinositol signaling system - Homo sapiens (human),KEGG,0,,81 (81),1,1,1,C03546,27 (27),0.197,0.813,0.517,0.613
Lipid digestion_ mobilization_ and transport,Reactome,0,,50 (53),1,1,1,C00116,31 (32),0.223,0.892,0.557,0.641
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),Reactome,1,RPL9,135 (144),0.223,1,0,,2 (2),1,1,0.558,0.641
Innate Immune System,Reactome,1,XRCC6,579 (607),0.669,1,1,C00020,50 (65),0.335,1,0.559,0.641
Sjogren Larsson Syndrome,SMPDB,0,,16 (17),1,1,1,C00025,32 (32),0.229,0.901,0.567,0.641
Sialuria or French Type Sialuria,SMPDB,0,,16 (17),1,1,1,C00025,32 (32),0.229,0.901,0.567,0.641
Amino Sugar Metabolism,SMPDB,0,,16 (17),1,1,1,C00025,32 (32),0.229,0.901,0.567,0.641
Pyruvate dehydrogenase deficiency (E2),SMPDB,0,,21 (21),1,1,1,C00158,32 (32),0.229,0.901,0.567,0.641
2-ketoglutarate dehydrogenase complex deficiency,SMPDB,0,,21 (21),1,1,1,C00158,32 (32),0.229,0.901,0.567,0.641
Mitochondrial complex II deficiency,SMPDB,0,,21 (21),1,1,1,C00158,32 (32),0.229,0.901,0.567,0.641
Fumarase deficiency,SMPDB,0,,21 (21),1,1,1,C00158,32 (32),0.229,0.901,0.567,0.641
Congenital lactic acidosis,SMPDB,0,,21 (21),1,1,1,C00158,32 (32),0.229,0.901,0.567,0.641
Citric Acid Cycle,SMPDB,0,,21 (21),1,1,1,C00158,32 (32),0.229,0.901,0.567,0.641
Tay-Sachs Disease,SMPDB,0,,16 (17),1,1,1,C00025,32 (32),0.229,0.901,0.567,0.641
Salla Disease/Infantile Sialic Acid Storage Disease,SMPDB,0,,16 (17),1,1,1,C00025,32 (32),0.229,0.901,0.567,0.641
Pyruvate dehydrogenase deficiency (E3),SMPDB,0,,21 (21),1,1,1,C00158,32 (32),0.229,0.901,0.567,0.641
Metabolism of nitric oxide,Reactome,0,,19 (20),1,1,1,C00327,32 (35),0.229,0.901,0.567,0.641
G(M2)-Gangliosidosis: Variant B_ Tay-sachs disease,SMPDB,0,,16 (17),1,1,1,C00025,32 (32),0.229,0.901,0.567,0.641
Platelet activation_ signaling and aggregation,Reactome,0,,212 (231),1,1,1,C00116,32 (32),0.229,0.901,0.567,0.641
eNOS activation and regulation,Reactome,0,,19 (20),1,1,1,C00327,32 (35),0.229,0.901,0.567,0.641
HIV Life Cycle,Reactome,1,XRCC6,142 (147),0.233,1,0,,14 (14),1,1,0.573,0.647
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis,HumanCyc,0,,22 (22),1,1,1,C00025,33 (34),0.235,0.924,0.576,0.65
Glycogenosis_ Type IA. Von gierke disease,SMPDB,0,,22 (22),1,1,1,C00031,34 (34),0.242,0.938,0.585,0.653
Glycogenosis_ Type IC,SMPDB,0,,22 (22),1,1,1,C00031,34 (34),0.242,0.938,0.585,0.653
Triosephosphate isomerase,SMPDB,0,,22 (22),1,1,1,C00031,34 (34),0.242,0.938,0.585,0.653
Fructose-1_6-diphosphatase deficiency,SMPDB,0,,22 (22),1,1,1,C00031,34 (34),0.242,0.938,0.585,0.653
Fructose and mannose metabolism,EHMN,0,,21 (22),1,1,1,C00031,34 (34),0.242,0.938,0.585,0.653
Gluconeogenesis,SMPDB,0,,22 (22),1,1,1,C00031,34 (34),0.242,0.938,0.585,0.653
Glycogen Storage Disease Type 1A (GSD1A) or Von Gierke Disease,SMPDB,0,,22 (22),1,1,1,C00031,34 (34),0.242,0.938,0.585,0.653
Phosphoenolpyruvate carboxykinase deficiency 1 (PEPCK1),SMPDB,0,,22 (22),1,1,1,C00031,34 (34),0.242,0.938,0.585,0.653
Glycogenosis_ Type IB,SMPDB,0,,22 (22),1,1,1,C00031,34 (34),0.242,0.938,0.585,0.653
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),Reactome,1,RPL9,148 (159),0.242,1,0,,4 (4),1,1,0.585,0.653
Nonsense-Mediated Decay (NMD),Reactome,1,RPL9,148 (159),0.242,1,0,,4 (4),1,1,0.585,0.653
Abnormal metabolism in phenylketonuria,Wikipathways,0,,0 (0),1,1,1,C00041,20 (21),0.15,0.653,0.15,0.653
Cytosolic sulfonation of small molecules,Reactome,0,,19 (21),1,1,1,C00020,35 (44),0.248,0.959,0.593,0.66
Selenocompound metabolism - Homo sapiens (human),KEGG,0,,17 (17),1,1,1,C00041,27 (27),0.197,0.813,0.517,0.613
Vitamin B9 (folate) metabolism,EHMN,0,,28 (29),1,1,1,C00025,35 (35),0.248,0.959,0.593,0.66
Processing of Capped Intron-Containing Pre-mRNA,Reactome,1,HNRNPF,155 (162),0.252,1,0,,1 (2),1,1,0.599,0.665
TCA cycle,EHMN,0,,30 (34),1,1,1,C00158,36 (36),0.254,0.98,0.602,0.668
L13a-mediated translational silencing of Ceruloplasmin expression,Reactome,1,RPL9,160 (169),0.259,1,0,,1 (1),1,1,0.609,0.674
3_ -UTR-mediated translational regulation,Reactome,1,RPL9,160 (169),0.259,1,0,,1 (1),1,1,0.609,0.674
Amine-derived hormones,Reactome,0,,16 (16),1,1,1,C00041,37 (38),0.26,1,0.61,0.674
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,Reactome,0,,12 (12),1,1,1,C00020,37 (42),0.26,1,0.61,0.674
GTP hydrolysis and joining of the 60S ribosomal subunit,Reactome,1,RPL9,161 (170),0.26,1,0,,3 (4),1,1,0.611,0.674
Lysosome - Homo sapiens (human),KEGG,1,NAPSA,120 (122),0.201,1,0,,4 (4),1,1,0.523,0.618
Neurotransmitter Release Cycle,Wikipathways,0,,0 (0),1,1,1,C00025,21 (21),0.157,0.677,0.157,0.677
Opioid Signalling,Wikipathways,0,,0 (0),1,1,1,C00020,21 (21),0.157,0.677,0.157,0.677
Biotin metabolism - Homo sapiens (human),KEGG,0,,3 (3),1,1,1,C00047,28 (28),0.203,0.83,0.527,0.618
Cap-dependent Translation Initiation,Reactome,1,RPL9,167 (177),0.269,1,0,,5 (6),1,1,0.622,0.683
Eukaryotic Translation Initiation,Reactome,1,RPL9,167 (177),0.269,1,0,,5 (6),1,1,0.622,0.683
Thiamine metabolism - Homo sapiens (human),KEGG,0,,3 (4),1,1,1,C00097,30 (30),0.216,0.87,0.548,0.635
Oxidative phosphorylation - Homo sapiens (human),KEGG,1,LHPP,132 (133),0.219,1,0,,16 (16),1,1,0.551,0.637
Peroxisomal lipid metabolism,Reactome,0,,21 (21),1,1,1,C00020,42 (55),0.29,1,0.648,0.71
HIV Infection,Reactome,1,XRCC6,183 (190),0.29,1,0,,16 (16),1,1,0.649,0.71
Long chain acyl-CoA dehydrogenase deficiency (LCAD),SMPDB,0,,14 (14),1,1,1,C00020,43 (43),0.295,1,0.655,0.71
Carnitine palmitoyl transferase deficiency (II),SMPDB,0,,14 (14),1,1,1,C00020,43 (43),0.295,1,0.655,0.71
Very-long-chain acyl coa dehydrogenase deficiency (VLCAD),SMPDB,0,,14 (14),1,1,1,C00020,43 (43),0.295,1,0.655,0.71
Medium chain acyl-coa dehydrogenase deficiency (MCAD),SMPDB,0,,14 (14),1,1,1,C00020,43 (43),0.295,1,0.655,0.71
Short Chain Acyl CoA Dehydrogenase Deficiency (SCAD Deficiency),SMPDB,0,,14 (14),1,1,1,C00020,43 (43),0.295,1,0.655,0.71
Fatty acid Metabolism,SMPDB,0,,14 (14),1,1,1,C00020,43 (43),0.295,1,0.655,0.71
Glutaric Aciduria Type I,SMPDB,0,,14 (14),1,1,1,C00020,43 (43),0.295,1,0.655,0.71
Carnitine palmitoyl transferase deficiency (I),SMPDB,0,,14 (14),1,1,1,C00020,43 (43),0.295,1,0.655,0.71
Trifunctional protein deficiency,SMPDB,0,,14 (14),1,1,1,C00020,43 (43),0.295,1,0.655,0.71
Ethylmalonic Encephalopathy,SMPDB,0,,14 (14),1,1,1,C00020,43 (43),0.295,1,0.655,0.71
Lysine biosynthesis - Homo sapiens (human),KEGG,0,,2 (2),1,1,1,C00047,35 (35),0.248,0.959,0.593,0.66
RNA transport - Homo sapiens (human),KEGG,1,SEC13,162 (165),0.262,1,0,,3 (3),1,1,0.612,0.675
Vitamin digestion and absorption - Homo sapiens (human),KEGG,0,,24 (24),1,1,1,C02477,38 (38),0.266,1,0.618,0.681
Synthesis of substrates in N-glycan biosythesis,Reactome,0,,52 (54),1,1,1,C00025,47 (55),0.318,1,0.682,0.736
Platelet homeostasis,Wikipathways,0,,0 (0),1,1,1,C00327,24 (24),0.177,0.742,0.177,0.742
Neuroactive ligand-receptor interaction - Homo sapiens (human),KEGG,0,,240 (275),1,1,2,C00245;C00025,128 (128),0.276,1,0.632,0.693
N-Glycan biosynthesis,EHMN,0,,43 (43),1,1,1,C00031,51 (51),0.34,1,0.707,0.76
Organelle biogenesis and maintenance,Reactome,0,,293 (307),1,1,1,C00020,52 (53),0.345,1,0.713,0.764
cAMP signaling pathway - Homo sapiens (human),KEGG,0,,189 (200),1,1,1,C00020,40 (40),0.278,1,0.634,0.695
Inositol phosphate metabolism - Homo sapiens (human),KEGG,0,,60 (61),1,1,1,C03546,44 (44),0.301,1,0.662,0.716
Pyrimidine Metabolism,SMPDB,0,,23 (23),1,1,1,C00106,57 (57),0.372,1,0.74,0.789
UMP Synthase Deiciency (Orotic Aciduria),SMPDB,0,,23 (23),1,1,1,C00106,57 (57),0.372,1,0.74,0.789
MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy),SMPDB,0,,23 (23),1,1,1,C00106,57 (57),0.372,1,0.74,0.789
Beta Ureidopropionase Deficiency,SMPDB,0,,23 (23),1,1,1,C00106,57 (57),0.372,1,0.74,0.789
Dihydropyrimidinase Deficiency,SMPDB,0,,23 (23),1,1,1,C00106,57 (57),0.372,1,0.74,0.789
De novo fatty acid biosynthesis,EHMN,0,,44 (44),1,1,1,C00020,59 (59),0.382,1,0.75,0.799
M Phase,Reactome,1,SEC13,260 (269),0.387,1,0,,18 (18),1,1,0.754,0.803
27-Hydroxylase Deficiency,SMPDB,0,,17 (17),1,1,1,C00245,61 (61),0.392,1,0.759,0.803
Congenital Bile Acid Synthesis Defect Type II,SMPDB,0,,17 (17),1,1,1,C00245,61 (61),0.392,1,0.759,0.803
Familial Hypercholanemia (FHCA),SMPDB,0,,17 (17),1,1,1,C00245,61 (61),0.392,1,0.759,0.803
Congenital Bile Acid Synthesis Defect Type III,SMPDB,0,,17 (17),1,1,1,C00245,61 (61),0.392,1,0.759,0.803
Zellweger Syndrome,SMPDB,0,,17 (17),1,1,1,C00245,61 (61),0.392,1,0.759,0.803
Bile Acid Biosynthesis,SMPDB,0,,17 (17),1,1,1,C00245,61 (61),0.392,1,0.759,0.803
Cerebrotendinous Xanthomatosis (CTX),SMPDB,0,,17 (17),1,1,1,C00245,61 (61),0.392,1,0.759,0.803
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide_ LLO) and transfer to a nascent protein,Reactome,0,,68 (70),1,1,1,C00025,62 (70),0.397,1,0.764,0.803
Tyrosinemia Type I,SMPDB,0,,18 (18),1,1,1,C00025,65 (67),0.412,1,0.777,0.803
Tyrosinemia_ transient_ of the newborn,SMPDB,0,,18 (18),1,1,1,C00025,65 (67),0.412,1,0.777,0.803
Dopamine beta-hydroxylase deficiency,SMPDB,0,,18 (18),1,1,1,C00025,65 (67),0.412,1,0.777,0.803
Tyrosine Metabolism,SMPDB,0,,18 (18),1,1,1,C00025,65 (67),0.412,1,0.777,0.803
Alkaptonuria,SMPDB,0,,18 (18),1,1,1,C00025,65 (67),0.412,1,0.777,0.803
Monoamine oxidase-a deficiency (MAO-A),SMPDB,0,,18 (18),1,1,1,C00025,65 (67),0.412,1,0.777,0.803
Hawkinsinuria,SMPDB,0,,18 (18),1,1,1,C00025,65 (67),0.412,1,0.777,0.803
Cyanoamino acid metabolism - Homo sapiens (human),KEGG,0,,7 (7),1,1,1,C00097,45 (45),0.307,1,0.669,0.723
G alpha (i) signalling events,Reactome,0,,220 (242),1,1,1,C00025,67 (83),0.421,1,0.785,0.803
Leukotriene C4 Synthesis Deficiency,SMPDB,0,,30 (30),1,1,1,C00025,69 (69),0.431,1,0.794,0.803
Antrafenine Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,69 (69),0.431,1,0.794,0.803
Lumiracoxib Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,69 (70),0.431,1,0.794,0.803
Nepafenac Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,69 (70),0.431,1,0.794,0.803
Tenoxicam Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,69 (69),0.431,1,0.794,0.803
Arachidonic Acid Metabolism,SMPDB,0,,30 (30),1,1,1,C00025,69 (69),0.431,1,0.794,0.803
Rofecoxib Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,69 (69),0.431,1,0.794,0.803
Trisalicylate-choline Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,69 (69),0.431,1,0.794,0.803
Lornoxicam Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,69 (69),0.431,1,0.794,0.803
Salsalate Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,69 (69),0.431,1,0.794,0.803
Nabumetone Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,69 (70),0.431,1,0.794,0.803
Ketoprofen Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Acetylsalicylic Acid Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Diflunisal Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Acetaminophen  Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Sulindac Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Diclofenac Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Ketorolac Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Naproxen Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Etoricoxib Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Carprofen Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Flurbiprofen Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Antipyrine Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Magnesium salicylate Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Phenylbutazone Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Tiaprofenic Acid Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Tolmetin Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Salicylic Acid Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Salicylate-sodium Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Oxaprozin Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Valdecoxib Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Meloxicam Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Suprofen Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Bromfenac Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Mefenamic Acid Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Piroxicam Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Etodolac Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Fenoprofen Action Pathway,SMPDB,0,,30 (30),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Indomethacin Action Pathway,SMPDB,0,,31 (31),1,1,1,C00025,70 (70),0.435,1,0.797,0.803
Primary bile acid biosynthesis - Homo sapiens (human),KEGG,0,,17 (17),1,1,1,C00245,47 (47),0.318,1,0.682,0.736
Celecoxib Action Pathway,SMPDB,0,,36 (36),1,1,1,C00025,73 (73),0.449,1,0.809,0.813
Ibuprofen Action Pathway,SMPDB,0,,49 (50),1,1,1,C00025,74 (74),0.454,1,0.812,0.815
Latent infection of Homo sapiens with Mycobacterium tuberculosis,Wikipathways,0,,0 (0),1,1,1,C00327,28 (40),0.203,0.83,0.203,0.83
Lipid digestion_ mobilization_ and transport,Wikipathways,0,,0 (0),1,1,1,C00116,28 (29),0.203,0.83,0.203,0.83
Arachidonic acid metabolism,Reactome,0,,54 (57),1,1,1,C00025,80 (102),0.48,1,0.832,0.835
Inositol phosphate metabolism,Wikipathways,0,,0 (0),1,1,1,C03546,29 (35),0.21,0.847,0.21,0.847
Integration of energy metabolism,Wikipathways,0,,0 (0),1,1,1,C00020,29 (31),0.21,0.847,0.21,0.847
Starch and sucrose metabolism - Homo sapiens (human),KEGG,0,,56 (56),1,1,1,C00031,51 (51),0.34,1,0.707,0.76
Metabolism of nitric oxide,Wikipathways,0,,0 (0),1,1,1,C00327,31 (35),0.223,0.892,0.223,0.892
Glycerophospholipid metabolism - Homo sapiens (human),KEGG,0,,92 (93),1,1,1,C00346,52 (52),0.345,1,0.713,0.764
Lysine degradation - Homo sapiens (human),KEGG,0,,51 (51),1,1,1,C00047,52 (52),0.345,1,0.713,0.764
Phase 1 - Functionalization of compounds,Wikipathways,0,,0 (0),1,1,2,C00020;C00315,115 (137),0.237,0.93,0.237,0.93
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,Wikipathways,0,,0 (0),1,1,1,C00020,36 (41),0.254,0.98,0.254,0.98
Signaling events mediated by HDAC Class III,PID,2,XRCC6;ACSS2,39 (39),0.00233,1,0,,0 (0),1,1,0.00233,1
Processing of DNA ends prior to end rejoining,Reactome,1,XRCC6,4 (4),0.00741,1,0,,0 (0),1,1,0.00741,1
Non-homologous end joining,Wikipathways,1,XRCC6,6 (6),0.0111,1,0,,0 (0),1,1,0.0111,1
2-LTR circle formation,Reactome,1,XRCC6,7 (7),0.0129,1,0,,0 (0),1,1,0.0129,1
Integration of provirus,Reactome,1,XRCC6,10 (11),0.0184,1,0,,0 (0),1,1,0.0184,1
Pyrimidine metabolism - Homo sapiens (human),KEGG,0,,103 (105),1,1,1,C00106,66 (66),0.417,1,0.781,0.803
Ifosfamide Pathway_ Pharmacodynamics,PharmGKB,1,ADH5,14 (14),0.0257,1,0,,0 (0),1,1,0.0257,1
Cyclophosphamide Pathway_ Pharmacodynamics,PharmGKB,1,ADH5,17 (17),0.0311,1,0,,0 (0),1,1,0.0311,1
BARD1 signaling events,PID,1,XRCC6,29 (29),0.0525,1,0,,0 (0),1,1,0.0525,1
Translation Factors,Wikipathways,1,EEF1D,49 (50),0.0872,1,0,,0 (0),1,1,0.0872,1
Parkin-Ubiquitin Proteasomal System pathway,Wikipathways,1,PSMD9,72 (73),0.126,1,0,,0 (0),1,1,0.126,1
Phenylalanine metabolism - Homo sapiens (human),KEGG,0,,18 (18),1,1,1,C00180,72 (72),0.445,1,0.805,0.81
Cytoplasmic Ribosomal Proteins,Wikipathways,1,RPL9,88 (88),0.151,1,0,,0 (0),1,1,0.151,1
mRNA Splicing - Major Pathway,Reactome,1,HNRNPF,124 (131),0.207,1,0,,0 (0),1,1,0.207,1
mRNA Splicing,Reactome,1,HNRNPF,124 (131),0.207,1,0,,0 (0),1,1,0.207,1
Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human),KEGG,0,,10 (10),1,1,1,C02477,90 (90),0.521,1,0.861,0.863
Formation of a pool of free 40S subunits,Reactome,1,RPL9,142 (151),0.233,1,0,,0 (0),1,1,0.233,1
AndrogenReceptor,NetPath,1,XRCC6,145 (149),0.238,1,0,,0 (0),1,1,0.238,1
SRP-dependent cotranslational protein targeting to membrane,Reactome,1,RPL9,154 (164),0.25,1,0,,0 (1),1,1,0.25,1
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),KEGG,0,,45 (46),1,1,1,C00031,105 (105),0.577,1,0.894,0.895
Peroxisomal lipid metabolism,Wikipathways,0,,0 (0),1,1,1,C00020,42 (55),0.29,1,0.29,1
TCR,NetPath,1,EVL,239 (251),0.362,1,0,,0 (0),1,1,0.362,1
Bile acid and bile salt metabolism,Wikipathways,0,,0 (0),1,1,1,C00020,56 (70),0.367,1,0.367,1
Asparagine N-linked glycosylation,Wikipathways,0,,0 (0),1,1,1,C00025,61 (64),0.392,1,0.392,1
Arachidonic acid metabolism,Wikipathways,0,,0 (0),1,1,1,C00025,63 (78),0.402,1,0.402,1
Porphyrin and chlorophyll metabolism - Homo sapiens (human),KEGG,0,,41 (41),1,1,1,C00025,124 (124),0.639,1,0.925,0.925
miR-targeted genes in muscle cell - TarBase,Wikipathways,1,ABHD10,398 (398),0.529,1,0,,0 (0),1,1,0.529,1
miR-targeted genes in lymphocytes - TarBase,Wikipathways,1,ABHD10,482 (482),0.6,1,0,,0 (0),1,1,0.6,1
